Model: ,Oscilloscope MSO-X 2012A
Serial Number:,MY54020352
Address: ,USBInstrument4
Date: ,2025-05-15 12:06:08

Analog Sample Count:,914,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Maximum(2),,,Maximum(1),,,Period(1),,,Frequency(1),,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,ROLL,,Mode,NORM,,Cur,No signal,,Cur,0.0321,,Cur,0.017,,Cur,58,,
Pos,-850 µV,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 ms/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-2.5 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,NONE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,59.15 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-5,0.0140243738424033,,
2,-4.99453125,0.0144263839465566,,
3,-4.9890625,0.0140243738424033,,
4,-4.98359375,0.0140243738424033,,
5,-4.978125,0.0144263839465566,,
6,-4.97265625,0.0132203536340967,,
7,-4.9671875,0.0152304041548632,,
8,-4.96171875,0.0140243738424033,,
9,-4.95625,0.0128183435299434,,
10,-4.95078125,0.0144263839465566,,
11,-4.9453125,0.0140243738424033,,
12,-4.93984375,0.01362236373825,,
13,-4.934375,0.0164364344673231,,
14,-4.92890625,0.0140243738424033,,
15,-4.9234375,0.0144263839465566,,
16,-4.91796875,0.0144263839465566,,
17,-4.9125,0.01362236373825,,
18,-4.90703125,0.0128183435299434,,
19,-4.9015625,0.0140243738424033,,
20,-4.89609375,0.0140243738424033,,
21,-4.890625,0.01362236373825,,
22,-4.88515625,0.0132203536340967,,
23,-4.8796875,0.0124163334257901,,
24,-4.87421875,0.0124163334257901,,
25,-4.86875,0.0128183435299434,,
26,-4.86328125,0.0152304041548632,,
27,-4.8578125,0.0144263839465566,,
28,-4.85234375,0.0132203536340967,,
29,-4.846875,0.0140243738424033,,
30,-4.84140625,0.0144263839465566,,
31,-4.8359375,0.0144263839465566,,
32,-4.83046875,0.0140243738424033,,
33,-4.825,0.0140243738424033,,
34,-4.81953125,0.01362236373825,,
35,-4.8140625,0.0124163334257901,,
36,-4.80859375,0.0140243738424033,,
37,-4.803125,0.0124163334257901,,
38,-4.79765625,0.0132203536340967,,
39,-4.7921875,0.0140243738424033,,
40,-4.78671875,0.01362236373825,,
41,-4.78125,0.01362236373825,,
42,-4.77578125,0.01362236373825,,
43,-4.7703125,0.0132203536340967,,
44,-4.76484375,0.0140243738424033,,
45,-4.759375,0.0148283940507099,,
46,-4.75390625,0.0144263839465566,,
47,-4.7484375,0.01362236373825,,
48,-4.74296875,0.0132203536340967,,
49,-4.7375,0.0140243738424033,,
50,-4.73203125,0.0140243738424033,,
51,-4.7265625,0.01362236373825,,
52,-4.72109375,0.01362236373825,,
53,-4.715625,0.0128183435299434,,
54,-4.71015625,0.01362236373825,,
55,-4.7046875,0.0132203536340967,,
56,-4.69921875,0.0128183435299434,,
57,-4.69375,0.01362236373825,,
58,-4.68828125,0.0140243738424033,,
59,-4.6828125,0.0140243738424033,,
60,-4.67734375,0.0144263839465566,,
61,-4.671875,0.0144263839465566,,
62,-4.66640625,0.0128183435299434,,
63,-4.6609375,0.0148283940507099,,
64,-4.65546875,0.0132203536340967,,
65,-4.65,0.0144263839465566,,
66,-4.64453125,0.0128183435299434,,
67,-4.6390625,0.0140243738424033,,
68,-4.63359375,0.0132203536340967,,
69,-4.628125,0.0148283940507099,,
70,-4.62265625,0.01362236373825,,
71,-4.6171875,0.0128183435299434,,
72,-4.61171875,0.0132203536340967,,
73,-4.60625,0.0132203536340967,,
74,-4.60078125,0.0124163334257901,,
75,-4.5953125,0.01362236373825,,
76,-4.58984375,0.01362236373825,,
77,-4.584375,0.0144263839465566,,
78,-4.57890625,0.01362236373825,,
79,-4.5734375,0.0160344243631698,,
