Model: ,Oscilloscope MSO-X 2012A
Serial Number:,MY54020352
Address: ,USBInstrument4
Date: ,2025-05-15 11:42:08

Analog Sample Count:,914,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Maximum(2),,,Maximum(1),,,Period(1),,,Frequency(1),,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,ROLL,,Mode,NORM,,Cur,No signal,,Cur,0.0341,,Cur,0.012,,Cur,80,,
Pos,-850 µV,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 ms/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-2.5 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,NONE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,59.15 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-5,0.0116123132174835,,
2,-4.99453125,0.0116123132174835,,
3,-4.9890625,0.0120143233216368,,
4,-4.98359375,0.0116123132174835,,
5,-4.978125,0.0108082930091769,,
6,-4.97265625,0.0108082930091769,,
7,-4.9671875,0.0104062829050235,,
8,-4.96171875,0.0112103031133302,,
9,-4.95625,0.0104062829050235,,
10,-4.95078125,0.0116123132174835,,
11,-4.9453125,0.0104062829050235,,
12,-4.93984375,0.0124163334257901,,
13,-4.934375,0.0124163334257901,,
14,-4.92890625,0.0116123132174835,,
15,-4.9234375,0.0120143233216368,,
16,-4.91796875,0.0112103031133302,,
17,-4.9125,0.0168384445714764,,
18,-4.90703125,0.0116123132174835,,
19,-4.9015625,0.0124163334257901,,
20,-4.89609375,0.0116123132174835,,
21,-4.890625,0.0116123132174835,,
22,-4.88515625,0.0112103031133302,,
23,-4.8796875,0.0124163334257901,,
24,-4.87421875,0.0120143233216368,,
25,-4.86875,0.0104062829050235,,
26,-4.86328125,0.0120143233216368,,
27,-4.8578125,0.0116123132174835,,
28,-4.85234375,0.0124163334257901,,
29,-4.846875,0.0116123132174835,,
30,-4.84140625,0.0124163334257901,,
31,-4.8359375,0.0112103031133302,,
32,-4.83046875,0.0124163334257901,,
33,-4.825,0.0120143233216368,,
34,-4.81953125,0.0112103031133302,,
35,-4.8140625,0.0120143233216368,,
36,-4.80859375,0.0116123132174835,,
37,-4.803125,0.0120143233216368,,
38,-4.79765625,0.0112103031133302,,
39,-4.7921875,0.0108082930091769,,
40,-4.78671875,0.0132203536340967,,
41,-4.78125,0.0116123132174835,,
42,-4.77578125,0.0108082930091769,,
43,-4.7703125,0.0108082930091769,,
44,-4.76484375,0.0116123132174835,,
45,-4.759375,0.0112103031133302,,
46,-4.75390625,0.0124163334257901,,
47,-4.7484375,0.0116123132174835,,
48,-4.74296875,0.0116123132174835,,
49,-4.7375,0.0132203536340967,,
50,-4.73203125,0.0112103031133302,,
51,-4.7265625,0.0108082930091769,,
52,-4.72109375,0.0116123132174835,,
53,-4.715625,0.0116123132174835,,
54,-4.71015625,0.0112103031133302,,
55,-4.7046875,0.0108082930091769,,
56,-4.69921875,0.0128183435299434,,
57,-4.69375,0.0132203536340967,,
58,-4.68828125,0.0112103031133302,,
59,-4.6828125,0.0108082930091769,,
60,-4.67734375,0.0116123132174835,,
61,-4.671875,0.0104062829050235,,
62,-4.66640625,0.0104062829050235,,
63,-4.6609375,0.0112103031133302,,
64,-4.65546875,0.0128183435299434,,
65,-4.65,0.0124163334257901,,
66,-4.64453125,0.0104062829050235,,
67,-4.6390625,0.0116123132174835,,
68,-4.63359375,0.0124163334257901,,
69,-4.628125,0.01362236373825,,
70,-4.62265625,0.0152304041548632,,
71,-4.6171875,0.0160344243631698,,
72,-4.61171875,0.01362236373825,,
73,-4.60625,0.0148283940507099,,
74,-4.60078125,0.0116123132174835,,
75,-4.5953125,0.0112103031133302,,
76,-4.58984375,0.0116123132174835,,
77,-4.584375,0.00879824248841032,,
78,-4.57890625,0.0116123132174835,,
79,-4.5734375,0.0120143233216368,,
80,-4.56796875,0.0120143233216368,,
81,-4.5625,0.0128183435299434,,
82,-4.55703125,0.0128183435299434,,
83,-4.5515625,0.0152304041548632,,
84,-4.54609375,0.0112103031133302,,
85,-4.540625,0.0140243738424033,,
86,-4.53515625,0.0164364344673231,,
87,-4.5296875,0.0156324142590165,,
88,-4.52421875,0.0144263839465566,,
89,-4.51875,0.0152304041548632,,
90,-4.51328125,0.0148283940507099,,
91,-4.5078125,0.0144263839465566,,
92,-4.50234375,0.0156324142590165,,
93,-4.496875,0.01362236373825,,
94,-4.49140625,0.0140243738424033,,
95,-4.4859375,0.0160344243631698,,
96,-4.48046875,0.0128183435299434,,
97,-4.475,0.0132203536340967,,
98,-4.46953125,0.0156324142590165,,
99,-4.4640625,0.0128183435299434,,
100,-4.45859375,0.017642464779783,,
101,-4.453125,0.0212605557171628,,
102,-4.44765625,0.0164364344673231,,
103,-4.4421875,0.0128183435299434,,
104,-4.43671875,0.0184464849880897,,
105,-4.43125,0.0140243738424033,,
106,-4.42578125,0.01362236373825,,
107,-4.4203125,0.0152304041548632,,
108,-4.41484375,0.0148283940507099,,
109,-4.409375,0.0140243738424033,,
110,-4.40390625,0.0160344243631698,,
111,-4.3984375,0.0132203536340967,,
112,-4.39296875,0.0116123132174835,,
113,-4.3875,0.0160344243631698,,
114,-4.38203125,0.0116123132174835,,
115,-4.3765625,0.0112103031133302,,
116,-4.37109375,0.0168384445714764,,
117,-4.365625,0.0120143233216368,,
118,-4.36015625,0.0112103031133302,,
119,-4.3546875,0.01362236373825,,
120,-4.34921875,0.01362236373825,,
121,-4.34375,0.0132203536340967,,
122,-4.33828125,0.018848495092243,,
123,-4.3328125,0.0140243738424033,,
124,-4.32734375,0.0124163334257901,,
125,-4.321875,0.0168384445714764,,
126,-4.31640625,0.0140243738424033,,
127,-4.3109375,0.0120143233216368,,
128,-4.30546875,0.0132203536340967,,
129,-4.3,0.0152304041548632,,
130,-4.29453125,0.0112103031133302,,
131,-4.2890625,0.0128183435299434,,
132,-4.28359375,0.0144263839465566,,
133,-4.278125,0.0116123132174835,,
134,-4.27265625,0.0140243738424033,,
135,-4.2671875,0.0172404546756297,,
136,-4.26171875,0.0132203536340967,,
137,-4.25625,0.0116123132174835,,
138,-4.25078125,0.0160344243631698,,
139,-4.2453125,0.0132203536340967,,
140,-4.23984375,0.0156324142590165,,
141,-4.234375,0.0164364344673231,,
142,-4.22890625,0.0132203536340967,,
143,-4.2234375,0.0132203536340967,,
144,-4.21796875,0.0160344243631698,,
145,-4.2125,0.0132203536340967,,
146,-4.20703125,0.0132203536340967,,
147,-4.2015625,0.0148283940507099,,
148,-4.19609375,0.01362236373825,,
149,-4.190625,0.0140243738424033,,
150,-4.18515625,0.0160344243631698,,
151,-4.1796875,0.0132203536340967,,
152,-4.17421875,0.0152304041548632,,
153,-4.16875,0.0164364344673231,,
154,-4.16328125,0.0132203536340967,,
155,-4.1578125,0.0152304041548632,,
156,-4.15234375,0.0156324142590165,,
157,-4.146875,0.01362236373825,,
158,-4.14140625,0.01362236373825,,
159,-4.1359375,0.0168384445714764,,
160,-4.13046875,0.0148283940507099,,
161,-4.125,0.0132203536340967,,
162,-4.11953125,0.017642464779783,,
163,-4.1140625,0.01362236373825,,
164,-4.10859375,0.0132203536340967,,
165,-4.103125,0.0164364344673231,,
166,-4.09765625,0.0132203536340967,,
167,-4.0921875,0.0172404546756297,,
168,-4.08671875,0.0164364344673231,,
169,-4.08125,0.0128183435299434,,
170,-4.07578125,0.0128183435299434,,
171,-4.0703125,0.0180444748839363,,
172,-4.06484375,0.0148283940507099,,
173,-4.059375,0.0148283940507099,,
174,-4.05390625,0.0168384445714764,,
175,-4.0484375,0.0156324142590165,,
176,-4.04296875,0.0128183435299434,,
177,-4.0375,0.0152304041548632,,
178,-4.03203125,0.0140243738424033,,
179,-4.0265625,0.01362236373825,,
180,-4.02109375,0.0172404546756297,,
181,-4.015625,0.0164364344673231,,
182,-4.01015625,0.0132203536340967,,
183,-4.0046875,0.0172404546756297,,
184,-3.99921875,0.0132203536340967,,
185,-3.99375,0.0120143233216368,,
186,-3.98828125,0.0168384445714764,,
187,-3.9828125,0.0160344243631698,,
188,-3.97734375,0.0128183435299434,,
189,-3.971875,0.0140243738424033,,
190,-3.96640625,0.0152304041548632,,
191,-3.9609375,0.0128183435299434,,
192,-3.95546875,0.0144263839465566,,
193,-3.95,0.0160344243631698,,
194,-3.94453125,0.0132203536340967,,
195,-3.9390625,0.0164364344673231,,
196,-3.93359375,0.0156324142590165,,
197,-3.928125,0.0116123132174835,,
198,-3.92265625,0.0148283940507099,,
199,-3.9171875,0.0144263839465566,,
200,-3.91171875,0.01362236373825,,
201,-3.90625,0.0148283940507099,,
202,-3.90078125,0.0152304041548632,,
203,-3.8953125,0.0128183435299434,,
204,-3.88984375,0.0144263839465566,,
205,-3.884375,0.0144263839465566,,
206,-3.87890625,0.0124163334257901,,
207,-3.8734375,0.0140243738424033,,
208,-3.86796875,0.0164364344673231,,
209,-3.8625,0.00357211113441736,,
210,-3.85703125,0.0156324142590165,,
211,-3.8515625,0.0144263839465566,,
212,-3.84609375,0.0124163334257901,,
213,-3.840625,0.0140243738424033,,
214,-3.83515625,0.0148283940507099,,
215,-3.8296875,0.0132203536340967,,
216,-3.82421875,0.0148283940507099,,
217,-3.81875,0.0152304041548632,,
218,-3.81328125,0.0148283940507099,,
219,-3.8078125,0.0144263839465566,,
220,-3.80234375,0.0160344243631698,,
221,-3.796875,0.0128183435299434,,
222,-3.79140625,0.0140243738424033,,
223,-3.7859375,0.0152304041548632,,
224,-3.78046875,0.0140243738424033,,
225,-3.775,0.0140243738424033,,
226,-3.76953125,0.0216625658213161,,
227,-3.7640625,0.0156324142590165,,
228,-3.75859375,0.0156324142590165,,
229,-3.753125,0.017642464779783,,
230,-3.74765625,0.0144263839465566,,
231,-3.7421875,0.01362236373825,,
232,-3.73671875,0.0152304041548632,,
233,-3.73125,0.0156324142590165,,
234,-3.72578125,0.01362236373825,,
235,-3.7203125,0.0172404546756297,,
236,-3.71484375,0.0152304041548632,,
237,-3.709375,0.0200545254047029,,
